Category 1,Category 2,Category 3,Avg Buyer L365D,Avg Buyer L180D,Avg Buyer L90D,Avg Buyer L30D,Avg Orders L365D,Avg Orders L180D,Avg Orders L90D,Avg Orders L30D,Avg UV L365D,Avg UV L180D,Avg UV L90D,Avg UV L30D,Visible Products,Visible Sellers,Selling Sellers L30D,Selling Products L30D
Health & Beauty,Hair Care,Hair Treatments,9.598825831702543,9.683333333333328,9.861904761904757,10.171428571428573,10.091585127201556,10.179365079365072,10.353968253968244,10.685714285714285,536.3381604696657,536.3381604696657,536.3381604696657,536.3381604696657,584,108,47.0,117.0
Mother & Baby,Baby Safety,Safety Caps,11.0495867768595,11.9608938547486,13.0777777777777,10.1333333333333,11.4077134986225,12.3575418994413,13.4888888888888,10.4333333333333,161.484931506849,161.484931506849,161.484931506849,161.484931506849,237,159,58.0,70.0
Health & Beauty,Men's Care,Shaving & Grooming,9.804696673189813,8.944444444444443,8.834920634920628,9.233333333333329,10.3009784735812,9.4031746031746,9.311111111111101,9.685714285714285,458.50332681017426,458.50332681017426,458.50332681017426,458.50332681017426,938,152,42.0,96.0
Health & Beauty,Makeup,Makeup Accessories,9.85792563600783,9.2531746031746,9.415873015873014,8.780952380952371,10.445792563600772,9.799206349206344,10.0126984126984,9.366666666666658,606.2442270058685,606.2442270058685,606.2442270058685,606.2442270058685,757,98,38.0,126.0
Health & Beauty,Hair Care,Shampoo,8.1518590998043,7.9055555555555435,7.961904761904757,7.742857142857143,8.463405088062613,8.198412698412685,8.277777777777771,8.014285714285714,435.32524461839427,435.32524461839427,435.32524461839427,435.32524461839427,622,92,36.0,109.0
Health & Beauty,Skin Care,Face Mask & Packs,6.8387475538160425,6.396825396825386,7.165079365079357,7.485714285714286,7.283757338551857,6.850793650793642,7.658730158730157,8.085714285714285,427.4911937377686,427.4911937377686,427.4911937377686,427.4911937377686,370,90,30.0,80.0
Mobiles & Tablets,Mobile Accessories,Cables & Converters,8.755381604696671,7.746825396825386,7.3428571428571425,7.361904761904758,9.228180039138943,8.13095238095237,7.7063492063492,7.7047619047619005,499.9796477495086,499.9796477495086,499.9796477495086,499.9796477495086,1518,141,45.0,127.0
"TV, Audio / Video, Gaming & Wearables",Wearable Technology,Smartwatches Accessories,6.325745682888529,6.4301499605367,7.230769230769228,7.119815668202757,6.706828885400314,6.8318863456985,7.649921507064357,7.493087557603686,266.78825831702545,266.78825831702545,266.78825831702545,266.78825831702545,552,45,22.0,126.0
Health & Beauty,Makeup,Lips,6.159733124018828,7.058730158730157,7.969841269841257,7.042857142857143,6.561616954474085,7.526984126984114,8.488888888888885,7.457142857142857,532.3358121330714,532.3358121330714,532.3358121330714,532.3358121330714,749,55,24.0,101.0
Health & Beauty,Beauty Tools,Hair Styling Appliances,8.548336594911929,8.182539682539671,6.8253968253968145,6.8095238095238,9.107632093933457,8.72936507936507,7.288888888888885,7.171428571428572,389.6931506849314,389.6931506849314,389.6931506849314,389.6931506849314,942,128,32.0,73.0
Health & Beauty,Makeup,Face,6.878669275929544,7.050793650793643,7.228571428571429,6.357142857142857,7.460665362035214,7.6571428571428575,7.796825396825385,6.790476190476186,506.87749510763143,506.87749510763143,506.87749510763143,506.87749510763143,995,75,34.0,127.0
Health & Beauty,Makeup,Eyes,7.118982387475528,6.4706349206349145,6.519047619047614,5.985714285714286,7.633268101761243,6.925396825396815,6.955555555555542,6.3904761904761855,525.2782778864943,525.2782778864943,525.2782778864943,525.2782778864943,866,85,28.0,100.0
Mobiles & Tablets,Mobiles,,9.197802197802172,5.880952380952372,6.146031746031743,5.971428571428571,9.67817896389323,6.053968253968229,6.295238095238085,6.104761904761886,2826.559686888454,2826.559686888454,2826.559686888454,2826.559686888454,154,17,10.0,43.0
Groceries,Baking & Cooking,Home Baking & Sugar,6.551467710371814,5.942857142857143,5.553968253968243,5.861904761904758,6.812133072407043,6.146031746031743,5.741269841269828,6.0047619047619,218.03992172211343,218.03992172211343,218.03992172211343,218.03992172211343,140,18,11.0,53.0
Health & Beauty,Beauty Tools,Skin Care Tools,6.718590998043043,7.392857142857143,6.615873015873015,5.804761904761899,7.119373776908014,7.8515873015873,6.936507936507929,6.128571428571428,318.14324853228857,318.14324853228857,318.14324853228857,318.14324853228857,341,114,32.0,49.0
Mother & Baby,Diapering & Potty,Disposable Diapers,4.418003913894315,5.382539682539671,5.761904761904757,5.6047619047619,4.607436399217214,5.611904761904758,5.996825396825386,5.823809523809515,161.57964774951057,161.57964774951057,161.57964774951057,161.57964774951057,144,16,10.0,47.0
Home Appliances,Appliances Parts & Accessories,Washer & Dryer Parts & Accessories,5.3346379647749425,7.891269841269829,6.658730158730157,5.471428571428571,5.651663405088057,8.424603174603172,7.087301587301586,5.847619047619043,148.04618395303314,148.04618395303314,148.04618395303314,148.04618395303314,136,56,18.0,29.0
Computers & Laptops,Computer Accessories,Mice,6.623091976516628,5.676190476190471,5.3126984126984,5.1000000000000005,7.031702544031299,6.030158730158729,5.6238095238095145,5.419047619047615,386.40234833659423,386.40234833659423,386.40234833659423,386.40234833659423,603,89,21.0,43.0
Health & Beauty,Hair Care,Hair Oil,4.953424657534243,4.992063492063486,4.9222222222222145,5.066666666666657,5.156164383561643,5.216666666666657,5.152380952380943,5.280952380952371,281.3589041095889,281.3589041095889,281.3589041095889,281.3589041095889,285,76,27.0,45.0
Mother & Baby,Maternity Care,Maternity Wear,4.56056338028169,4.62068965517241,4.72093023255814,4.74074074074074,4.82535211267605,4.90229885057471,5.04651162790697,4.96296296296296,333.164383561643,333.164383561643,333.164383561643,333.164383561643,215,57,33.0,59.0
Health & Beauty,Makeup,Nails,4.817612524461828,4.792857142857143,4.941269841269829,4.666666666666657,5.335420743639914,5.316666666666657,5.446031746031743,5.1476190476190435,332.26144814090003,332.26144814090003,332.26144814090003,332.26144814090003,704,74,29.0,95.0
Health & Beauty,Beauty Tools,Body Slimming,4.686572989851671,4.2517758484609285,4.799058084772357,4.635944700460828,4.990241998438714,4.505130228887128,5.0800627943485,4.9032258064516006,161.97651663405085,161.97651663405085,161.97651663405085,161.97651663405085,318,88,30.0,44.0
Health & Beauty,Personal Care,Feminine Care,4.851272015655572,5.198412698412686,4.8412698412698285,4.619047619047614,5.1311154598825715,5.515079365079357,5.139682539682529,4.880952380952372,231.83483365949112,231.83483365949112,231.83483365949112,231.83483365949112,191,45,19.0,54.0
Mother & Baby,Baby Safety,Edge & Corner Guards,3.12280701754385,3.14792899408284,3.52380952380952,4.55172413793103,3.28947368421052,3.33136094674556,3.72619047619047,4.86206896551724,65.2136986301369,65.2136986301369,65.2136986301369,65.2136986301369,36,26,29.0,32.0
Computers & Laptops,Computer Accessories,USB Fans,2.4317998385795,2.7443181818181714,4.515873015873014,4.547619047619043,2.6093623890234,2.9383116883116855,4.8412698412698285,4.895238095238086,166.1659491193737,166.1659491193737,166.1659491193737,166.1659491193737,234,73,23.0,38.0
Health & Beauty,Sexual Wellness,Condoms,4.200782778864957,4.633333333333328,4.5666666666666575,4.533333333333329,4.528767123287671,4.980952380952372,4.926984126984115,4.871428571428572,255.52407045009772,255.52407045009772,255.52407045009772,255.52407045009772,178,20,13.0,54.0
Health & Beauty,Hair Care,Hair Care Accessories,5.347553816046957,5.690476190476185,5.136507936507928,4.4952380952380855,5.604696673189814,5.973809523809514,5.376190476190471,4.733333333333328,263.96712328767114,263.96712328767114,263.96712328767114,263.96712328767114,295,70,28.0,56.0
Mobiles & Tablets,Mobile Accessories,Docks & Stands,4.6978473581213285,5.0928571428571425,4.574603174603171,4.442857142857143,4.947945205479443,5.360317460317456,4.7682539682539575,4.5761904761904715,239.23522504892344,239.23522504892344,239.23522504892344,239.23522504892344,361,91,20.0,33.0
Health & Beauty,Sexual Wellness,Lubricants,3.7553816046966717,4.097619047619043,4.161904761904757,4.366666666666657,3.9964774951076287,4.331746031746029,4.4015873015873,4.6476190476190435,228.28493150684912,228.28493150684912,228.28493150684912,228.28493150684912,148,24,13.0,36.0
Home Appliances,Small Kitchen Appliances,Food Preparation,5.6426614481409,5.0079365079365,4.574603174603171,4.290476190476186,5.869667318982386,5.2079365079365,4.769841269841257,4.447619047619043,490.48375733855147,490.48375733855147,490.48375733855147,490.48375733855147,688,135,33.0,65.0
Groceries,"Canned, Dry & Packaged Foods","Noodles, Pasta & Rice",5.0692759295499,4.665079365079357,4.298412698412686,4.2047619047619005,5.270450097847357,4.887301587301586,4.4952380952380855,4.352380952380943,221.87005870841486,221.87005870841486,221.87005870841486,221.87005870841486,153,18,11.0,67.0
Health & Beauty,Beauty Tools,Hair Removal Appliances,4.566731898238743,4.676984126984115,4.319047619047614,4.090476190476186,4.804696673189815,4.9515873015873,4.541269841269829,4.261904761904757,268.14872798434425,268.14872798434425,268.14872798434425,268.14872798434425,370,92,25.0,44.0
Mobiles & Tablets,Mobile Accessories,Screen Protectors,5.335164835164828,4.484920634920629,4.274603174603171,4.0666666666666575,5.718602825745672,4.803174603174599,4.565079365079357,4.328571428571428,361.59217221134855,361.59217221134855,361.59217221134855,361.59217221134855,1171,41,16.0,112.0
Mobiles & Tablets,Mobile Accessories,Fashion Mobile Accessories,7.885714285714286,5.2063492063492,4.493650793650786,4.047619047619043,8.4876712328767,5.556349206349201,4.7936507936507855,4.319047619047614,491.2203522504886,491.2203522504886,491.2203522504886,491.2203522504886,545,106,23.0,45.0
Groceries,Baking & Cooking,Condiment Dressing,4.9719887955182,4.6067415730337,4.32954545454545,4.03333333333333,5.06442577030812,4.71348314606741,4.43181818181818,4.13333333333333,110.865753424657,110.865753424657,110.865753424657,110.865753424657,222,35,18.0,73.0
Health & Beauty,Personal Care,Oral Care,3.619960861056743,3.681746031746029,3.6777777777777714,4.023809523809514,3.732289628180028,3.792063492063486,3.796825396825386,4.2,303.54363992172,303.54363992172,303.54363992172,303.54363992172,294,81,30.0,71.0
"TV, Audio / Video, Gaming & Wearables",Audio,Live Sound & Stage Equipment,5.0876712328767,4.571428571428571,4.047619047619043,3.9095238095238,5.480234833659486,4.920634920634915,4.379365079365072,4.219047619047614,376.2606653620343,376.2606653620343,376.2606653620343,376.2606653620343,540,83,25.0,50.0
Mother & Baby,Feeding,Bottle-Feeding,3.3326810176125146,3.761904761904757,4.317460317460315,3.852380952380943,3.581604696673186,4.031746031746029,4.6126984126984,4.095238095238086,146.06340508806258,146.06340508806258,146.06340508806258,146.06340508806258,361,51,21.0,73.0
"TV, Audio / Video, Gaming & Wearables",Audio,Portable Speakers,4.3941291585127145,3.995238095238086,3.852380952380943,3.7904761904761854,4.653620352250486,4.219841269841257,4.084126984126971,3.9857142857142853,562.2951076320915,562.2951076320915,562.2951076320915,562.2951076320915,942,134,28.0,50.0
Computers & Laptops,Computer Components,Power Supply Units,1.3690813435855929,2.1923383878691003,2.6031746031746,3.7857142857142856,1.4229057061918244,2.2785315243415716,2.7142857142857144,3.9761904761904714,143.7988258317023,143.7988258317023,143.7988258317023,143.7988258317023,91,39,12.0,18.0
Computers & Laptops,Computer Accessories,Keyboards,4.586692759295486,3.9071428571428575,3.655555555555543,3.6619047619047573,4.901369863013685,4.187301587301586,3.9412698412698286,3.957142857142857,455.98043052837426,455.98043052837426,455.98043052837426,455.98043052837426,537,88,23.0,47.0
Cameras,Camera Accessories,Tripods & Monopods,4.523547880690729,3.950793650793643,3.542857142857143,3.5809523809523713,4.799058084772357,4.205555555555543,3.768253968253957,3.8333333333333286,262.91741682974543,262.91741682974543,262.91741682974543,262.91741682974543,397,71,17.0,34.0
Groceries,"Canned, Dry & Packaged Foods","Grains, Beans &Pulses",3.7056751467710285,3.495238095238086,3.414285714285714,3.3714285714285714,3.811350293542071,3.598412698412686,3.5158730158730145,3.4238095238095143,87.64931506849314,87.64931506849314,87.64931506849314,87.64931506849314,115,13,9.0,40.0
Pet Supplies,Fish,Medication,3.30612244897959,3.02958579881656,3.21176470588235,3.35714285714285,3.44897959183673,3.13017751479289,3.31764705882352,3.42857142857142,65.8301369863013,65.8301369863013,65.8301369863013,65.8301369863013,79,10,9.0,34.0
Health & Beauty,Bath & Body,Body Soaps & Shower Gels,3.481800391389428,3.2261904761904714,3.3904761904761855,3.2904761904761854,3.587475538160457,3.313492063492057,3.482539682539671,3.3380952380952285,190.73111545988257,190.73111545988257,190.73111545988257,190.73111545988257,418,71,26.0,73.0
Home Appliances,Cooling & Heating,Fans,1.6420168067226857,1.9488536155202714,2.9682539682539573,3.2857142857142856,1.746218487394957,2.0793650793650715,3.149206349206343,3.5142857142857147,170.74285714285716,170.74285714285716,170.74285714285716,170.74285714285716,242,63,20.0,36.0
Health & Beauty,Sexual Wellness,Sensual Toys,3.7483365949119287,3.7626984126983998,3.6126984126984,3.185714285714286,4.079843444227,4.084920634920628,3.914285714285714,3.4238095238095143,510.73424657534,510.73424657534,510.73424657534,510.73424657534,414,12,9.0,52.0
Groceries,Breakfast,"Jams, Honey & Spreads",3.8183953033268,3.476984126984114,3.1714285714285713,3.1285714285714286,3.9765166340508715,3.6476190476190427,3.246031746031743,3.190476190476186,127.5358121330723,127.5358121330723,127.5358121330723,127.5358121330723,141,23,9.0,37.0
Home Appliances,Small Kitchen Appliances,Other Small Kitchen Appliances,3.3718199608610426,3.1174603174603144,2.715873015873014,2.9761904761904714,3.5185909980430425,3.25,2.8238095238095147,3.0952380952380856,225.37534246575342,225.37534246575342,225.37534246575342,225.37534246575342,455,112,25.0,37.0
Health & Beauty,Personal Care,Ear Care,2.33333333333333,2.4078947368421,2.29577464788732,2.84615384615384,2.39518900343642,2.48684210526315,2.38028169014084,2.92307692307692,41.7671232876712,41.7671232876712,41.7671232876712,41.7671232876712,80,59,19.0,23.0
Health & Beauty,Medical Supplies,Scale & Body Fat Analyzers,3.2003913894324856,2.7436507936507857,2.926984126984114,2.761904761904757,3.291976516634043,2.8238095238095147,3.0079365079365,2.8476190476190433,91.18121330724057,91.18121330724057,91.18121330724057,91.18121330724057,151,62,12.0,16.0
Health & Beauty,Medical Supplies,Health Accessories,6.536594911937371,5.489682539682528,2.760317460317457,2.752380952380943,6.947162426614471,5.842063492063486,2.955555555555543,2.9,325.18512720156286,325.18512720156286,325.18512720156286,325.18512720156286,393,121,34.0,48.0
Health & Beauty,Fragrances,Men,2.580039138943243,2.6309523809523716,2.9047619047619,2.742857142857143,2.7037181996085997,2.761904761904757,3.0714285714285716,2.9714285714285715,226.03444227005858,226.03444227005858,226.03444227005858,226.03444227005858,288,32,15.0,53.0
Mother & Baby,Clothing & Accessories,New Born Unisex (0 - 6 mnths),3.7060665362035143,3.676984126984114,3.292063492063486,2.7142857142857144,4.072798434442257,4.0047619047619,3.558730158730157,2.9285714285714284,330.14324853228857,330.14324853228857,330.14324853228857,330.14324853228857,537,55,18.0,61.0
Groceries,Laundry & Household,Laundry,2.132653061224486,2.4857142857142853,2.8730158730158712,2.7095238095238003,2.1805337519623142,2.547619047619043,2.947619047619043,2.7809523809523715,72.11741682974544,72.11741682974544,72.11741682974544,72.11741682974544,93,17,10.0,36.0
Groceries,Beverages,Tea,2.859882583170243,2.9595238095238003,2.7396825396825286,2.7047619047619,2.9694716242661428,3.0698412698412567,2.8428571428571425,2.7904761904761854,95.99295499021514,95.99295499021514,95.99295499021514,95.99295499021514,761,56,17.0,49.0
Groceries,Snacks,Biscuit & Cookies,3.2442270058708287,3.0976190476190433,2.817460317460314,2.5380952380952286,3.3855185909980428,3.2873015873015854,2.8825396825396714,2.585714285714286,113.67671232876685,113.67671232876685,113.67671232876685,113.67671232876685,213,9,7.0,76.0
Health & Beauty,Men's Care,Skin Care,2.1549902152641858,2.560317460317457,2.7873015873015854,2.5380952380952286,2.2238747553816,2.65,2.9047619047619,2.6476190476190427,207.4567514677103,207.4567514677103,207.4567514677103,207.4567514677103,173,48,15.0,40.0
Mobiles & Tablets,Mobile Accessories,Wall Chargers,2.175039246467814,2.2730158730158716,2.3714285714285714,2.5190476190476145,2.2719780219780144,2.3714285714285714,2.4793650793650714,2.6619047619047573,204.79686888453998,204.79686888453998,204.79686888453998,204.79686888453998,594,109,21.0,41.0
Computers & Laptops,Computer Accessories,Adapters & Cables,2.5369863013698573,2.5785714285714287,2.544444444444443,2.5095238095237997,2.6669275929549854,2.7047619047619,2.6984126984126857,2.7142857142857144,145.12954990215258,145.12954990215258,145.12954990215258,145.12954990215258,436,74,26.0,49.0
Computers & Laptops,Computer Accessories,Mousepads,3.0181031090121997,2.624603174603171,2.3841269841269717,2.457142857142857,3.1625344352617,2.742857142857143,2.490476190476186,2.5285714285714285,144.48140900195685,144.48140900195685,144.48140900195685,144.48140900195685,158,49,10.0,22.0
Pet Supplies,Fish,Aquariums Accessories,2.659099804305271,2.5960317460317426,2.598412698412686,2.447619047619043,3.049315068493143,2.988095238095229,2.939682539682529,2.761904761904757,218.79686888453998,218.79686888453998,218.79686888453998,218.79686888453998,296,18,8.0,76.0
Groceries,"Canned, Dry & Packaged Foods",Dried Goods,3.6207436399217143,3.188888888888886,2.760317460317457,2.447619047619043,3.8512720156555713,3.4325396825396717,2.8984126984126855,2.5809523809523713,203.43639921722115,203.43639921722115,203.43639921722115,203.43639921722115,195,18,10.0,56.0
Health & Beauty,Bath & Body,Hair Removal Cosmetics,1.7671232876712286,2.002380952380943,2.369841269841257,2.3476190476190433,1.8524461839530286,2.1063492063491998,2.5174603174603143,2.5190476190476145,110.02896281800372,110.02896281800372,110.02896281800372,110.02896281800372,91,37,16.0,28.0
Health & Beauty,Skin Care,Eye Care,2.1621408894136143,2.5206349206349143,2.5412698412698282,2.3238095238095147,2.2672176308539855,2.668253968253957,2.642857142857143,2.4095238095238,127.50763209393344,127.50763209393344,127.50763209393344,127.50763209393344,113,45,18.0,27.0
Home Appliances,Small Kitchen Appliances,Juicers & Fruit Extractors,2.762818003913886,2.8111111111111,3.7047619047619,2.3047619047619,2.878277886497057,2.9158730158730144,3.861904761904757,2.4238095238095143,168.18630136986286,168.18630136986286,168.18630136986286,168.18630136986286,256,89,17.0,24.0
Health & Beauty,Skin Care,Toner & Mists,2.3949119373776857,2.447619047619043,2.688888888888886,2.2714285714285714,2.486105675146771,2.534126984126971,2.7809523809523715,2.3476190476190433,141.88023483365944,141.88023483365944,141.88023483365944,141.88023483365944,154,51,17.0,33.0
Health & Beauty,Medical Supplies,Injury Support and Braces,2.807436399217214,2.4730158730158713,2.3603174603174573,2.2190476190476143,2.9639921722113427,2.6095238095238003,2.5079365079365,2.3285714285714287,146.2771037181994,146.2771037181994,146.2771037181994,146.2771037181994,373,73,19.0,42.0
Mother & Baby,Clothing & Accessories,Boys,2.4622309197651573,2.1357142857142857,2.261904761904757,2.042857142857143,2.682974559686886,2.335714285714286,2.482539682539671,2.238095238095229,390.29354207436285,390.29354207436285,390.29354207436285,390.29354207436285,918,54,19.0,64.0
Computers & Laptops,Computer Accessories,Mac Accessories,2.512328767123286,2.4246031746031713,2.1365079365079285,2.0285714285714285,2.6637964774951,2.565079365079357,2.257142857142857,2.157142857142857,155.44344422700573,155.44344422700573,155.44344422700573,155.44344422700573,240,45,13.0,34.0
Home Appliances,Kitchen Appliances,Water Dispensers & Purifiers,1.586734693877543,1.5466879489225858,1.842857142857143,2.0238095238095144,1.655808477237043,1.6272944932162716,1.9380952380952288,2.123809523809514,179.45753424657514,179.45753424657514,179.45753424657514,179.45753424657514,237,75,15.0,22.0
Health & Beauty,Hair Care,Hair Styling,2.139726027397257,2.084920634920629,2.1841269841269715,1.9666666666666572,2.236007827788643,2.1841269841269715,2.296825396825386,2.0761904761904715,213.6665362035223,213.6665362035223,213.6665362035223,213.6665362035223,134,40,13.0,33.0
Mother & Baby,Baby Personal Care,Baby Detergent,2.0563909774436,1.83333333333333,2.0,1.95,2.11654135338345,1.91269841269841,2.10144927536231,2.15,21.4,21.4,21.4,21.4,25,10,8.0,14.0
Health & Beauty,Bath & Body,Bath & Body Accessories,2.169471624266143,2.0452380952380858,2.026984126984114,1.9095238095237999,2.2324853228962716,2.1015873015873,2.0984126984126856,1.9857142857142858,141.12172211350284,141.12172211350284,141.12172211350284,141.12172211350284,137,65,18.0,23.0
Cameras,Camera Accessories,Sports & Action Camera Accessories,2.2966731898238715,2.0357142857142856,1.8253968253968142,1.9047619047619,2.510371819960857,2.2126984126984,1.9698412698412573,2.0809523809523713,163.145205479452,163.145205479452,163.145205479452,163.145205479452,194,47,16.0,33.0
Health & Beauty,Bath & Body,Body & Massage Oils,2.0258317025440284,1.9015873015873,1.855555555555543,1.9047619047619,2.1111545988258285,1.9928571428571427,1.9603174603174571,1.9857142857142858,89.087279843444,89.087279843444,89.087279843444,89.087279843444,313,56,20.0,40.0
Mother & Baby,Feeding,Breastfeeding,1.3561643835616428,1.5658730158730143,1.8333333333333286,1.8809523809523714,1.4148727984344414,1.6365079365079287,1.9285714285714286,1.957142857142857,80.52915851271999,80.52915851271999,80.52915851271999,80.52915851271999,95,37,15.0,23.0
Mother & Baby,Clothing & Accessories,Girls,2.4027397260273857,2.108730158730157,2.4126984126984,1.8476190476190428,2.5976516634050855,2.296031746031743,2.630158730158729,1.9809523809523715,463.47240704500854,463.47240704500854,463.47240704500854,463.47240704500854,989,60,19.0,54.0
Mother & Baby,Baby Personal Care,Toothbrushes & Toothpaste,0.8738559490648614,1.03095238095238,1.2380952380952372,1.7047619047619,0.9152407481098285,1.0793650793650786,1.2968253968253958,1.7809523809523713,40.07045009784714,40.07045009784714,40.07045009784714,40.07045009784714,60,26,11.0,17.0
Computers & Laptops,Storage,Flash Drives,1.6475667189952858,1.8801587301587286,1.9079365079364998,1.6714285714285713,1.7382260596546286,1.9880952380952286,2.025396825396814,1.7857142857142858,97.08806262230915,97.08806262230915,97.08806262230915,97.08806262230915,238,45,10.0,19.0
Health & Beauty,Skin Care,Lip Balm and Treatment,1.7154598825831573,1.7904761904761857,1.7365079365079286,1.6714285714285713,1.7780821917808143,1.8587301587301572,1.7984126984126856,1.7285714285714284,115.87788649706457,115.87788649706457,115.87788649706457,115.87788649706457,103,36,15.0,26.0
Computers & Laptops,Network Components,Routers,1.9107632093933429,1.799206349206343,1.3841269841269828,1.6619047619047573,2.009393346379643,1.8888888888888857,1.4492063492063427,1.7571428571428573,254.9095890410957,254.9095890410957,254.9095890410957,254.9095890410957,204,62,12.0,16.0
Mother & Baby,Diapering & Potty,Cloth Diapers & Accessories,1.4133072407045,1.4746031746031714,1.465079365079357,1.6190476190476144,1.5103718199608571,1.5579365079365,1.542857142857143,1.6857142857142857,83.567906066536,83.567906066536,83.567906066536,83.567906066536,95,29,9.0,17.0
Health & Beauty,Beauty Tools,Foot Relief Accessories & Tools,1.3665620094191515,1.5833333333333286,1.7730158730158716,1.5999999999999999,1.4297488226059571,1.650793650793643,1.8492063492063429,1.6857142857142857,60.14637964774943,60.14637964774943,60.14637964774943,60.14637964774943,165,70,21.0,31.0
Mother & Baby,Diapering & Potty,Wipes & Holders,1.27866927592955,1.5420634920634857,1.7365079365079286,1.5952380952380858,1.3142857142857143,1.5841269841269714,1.7761904761904714,1.6380952380952285,47.6,47.6,47.6,47.6,60,22,7.0,13.0
Home Appliances,Kitchen Appliances,Cooktops & Ranges,1.4336875245966143,1.3966480446927372,1.7238095238095144,1.5857142857142856,1.4998032270759427,1.4700718276137141,1.8190476190476144,1.6476190476190429,238.84618395303315,238.84618395303315,238.84618395303315,238.84618395303315,161,48,12.0,24.0
Groceries,Laundry & Household,Cleaning,1.7990580847723572,1.6301587301587286,1.646031746031743,1.5476190476190428,1.8485086342229144,1.6904761904761858,1.7158730158730144,1.5999999999999999,76.74129158512714,76.74129158512714,76.74129158512714,76.74129158512714,148,40,11.0,32.0
Mother & Baby,Baby Personal Care,Skin Care,2.086105675146757,2.226984126984114,2.063492063492057,1.5476190476190428,2.1866927592954855,2.331746031746029,2.1714285714285713,1.6095238095238,76.30215264187858,76.30215264187858,76.30215264187858,76.30215264187858,103,30,11.0,26.0
Health & Beauty,Fragrances,Women,1.7068493150684856,1.7206349206349143,1.6365079365079287,1.5190476190476143,1.7718199608610428,1.7920634920634857,1.7269841269841142,1.6047619047619002,160.56281800391372,160.56281800391372,160.56281800391372,160.56281800391372,334,38,15.0,39.0
Mobiles & Tablets,Mobile Accessories,Phone Camera Flash Lights,2.551076320939329,2.0896825396825287,1.6285714285714286,1.5142857142857142,2.6641878669275854,2.1746031746031713,1.6873015873015855,1.5476190476190428,129.77534246575343,129.77534246575343,129.77534246575343,129.77534246575343,207,66,10.0,14.0
Mother & Baby,Nursery,Mattresses & Bedding,1.7322896281800286,1.6722222222222143,1.5777777777777715,1.4904761904761856,1.8724070450097714,1.8031746031746,1.7142857142857142,1.5999999999999999,150.41095890410944,150.41095890410944,150.41095890410944,150.41095890410944,260,40,13.0,34.0
